#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
99906	851458	852202	31962	32626	YDL100C	YBL076C	GET3	ILS1	ARR4|guanine nucleotide exchange factor GET3	isoleucine--tRNA ligase ILS1|L000000856	Affinity Capture-MS	physical	Gavin AC (2002)	11805826	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
100612	851458	852864	31962	33226	YDL100C	YGL020C	GET3	GET1	ARR4|guanine nucleotide exchange factor GET3	MDM39	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
100613	851458	856817	31962	36828	YDL100C	YER083C	GET3	GET2	ARR4|guanine nucleotide exchange factor GET3	HUR2|RMD7	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
100643	851458	852302	31962	32717	YDL100C	YBR014C	GET3	GRX7	ARR4|guanine nucleotide exchange factor GET3	glutathione-disulfide reductase GRX7	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
100644	851458	855669	31962	35766	YDL100C	YNL055C	GET3	POR1	ARR4|guanine nucleotide exchange factor GET3	OMP2|porin POR1|VDAC|YVDAC1|L000001302	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
101830	851458	853803	31962	34071	YDL100C	YKL062W	GET3	MSN4	ARR4|guanine nucleotide exchange factor GET3	stress-responsive transcriptional activator MSN4|L000001199	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
102272	851458	854957	31962	35120	YDL100C	YML048W	GET3	GSF2	ARR4|guanine nucleotide exchange factor GET3	ECM6|L000003209	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
109678	850966	851458	31529	31962	YLR262C	YDL100C	YPT6	GET3	Rab family GTPase YPT6|L000002896|L000002948	ARR4|guanine nucleotide exchange factor GET3	Synthetic Lethality	genetic	Tong AH (2004)	14764870	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
166957	855836	851458	35923	31962	YPL240C	YDL100C	HSP82	GET3	HSP90|Hsp90 family chaperone HSP82|L000000822	ARR4|guanine nucleotide exchange factor GET3	Synthetic Lethality	genetic	Zhao R (2005)	15766533	559292	559292	High Throughput	-	-	inviable	-	-	BIOGRID
181253	851458	851216	31962	31749	YDL100C	YAL017W	GET3	PSK1	ARR4|guanine nucleotide exchange factor GET3	FUN31|serine/threonine protein kinase PSK1|L000000646	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
181254	851458	852361	31962	32772	YDL100C	YBR069C	GET3	TAT1	ARR4|guanine nucleotide exchange factor GET3	TAP1|VAP1|amino acid transporter TAT1|L000002454|L000002262	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
181255	851458	852062	31962	32506	YDL100C	YDR451C	GET3	YHP1	ARR4|guanine nucleotide exchange factor GET3	-	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
181256	851458	856817	31962	36828	YDL100C	YER083C	GET3	GET2	ARR4|guanine nucleotide exchange factor GET3	HUR2|RMD7	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
182603	852864	851458	33226	31962	YGL020C	YDL100C	GET1	GET3	MDM39	ARR4|guanine nucleotide exchange factor GET3	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
193536	851458	852202	31962	32626	YDL100C	YBL076C	GET3	ILS1	ARR4|guanine nucleotide exchange factor GET3	isoleucine--tRNA ligase ILS1|L000000856	Affinity Capture-MS	physical	Gavin AC (2006)	16429126	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
205499	851458	852864	31962	33226	YDL100C	YGL020C	GET3	GET1	ARR4|guanine nucleotide exchange factor GET3	MDM39	Affinity Capture-MS	physical	Auld KL (2006)	16816426	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
205500	851458	856817	31962	36828	YDL100C	YER083C	GET3	GET2	ARR4|guanine nucleotide exchange factor GET3	HUR2|RMD7	Affinity Capture-MS	physical	Auld KL (2006)	16816426	559292	559292	Low Throughput	-	-	-	-	-	BIOGRID
