#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
422934	8266	439	113885	106931	XX-FW89031B12.1	-	UBL4A	ASNA1	DX254E|DXS254E|G6PD|GDX|GET5|MDY2|TMA24|UBL4	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	Affinity Capture-MS	physical	Sowa ME (2009)	19615732	9606	9606	High Throughput	8.16	-	-	exogenous expression of bait	-	BIOGRID
569947	773	439	107227	106931	-	-	CACNA1A	ASNA1	APCA|BI|CACNL1A4|CAV2.1|EA2|FHM|HPCA|MHP|MHP1|SCA6	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	Two-hybrid	physical	Kahle JJ (2011)	21078624	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
602163	7083	439	112938	106931	-	-	TK1	ASNA1	TK2	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
603129	7276	439	113127	106931	-	-	TTR	ASNA1	CTS|CTS1|HEL111|HsT2651|PALB|TBPA	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
603416	5201	439	111223	106931	-	-	PFDN1	ASNA1	PDF|PFD1	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	Two-hybrid	physical	Vinayagam A (2011)	21900206	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
673809	51465	439	119555	106931	CGI-76	-	UBE2J1	ASNA1	HSPC153|HSPC205|HSU93243|NCUBE-1|NCUBE1|UBC6|Ubc6p	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	Affinity Capture-Western	physical	Claessen JH (2010)	20435896	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
692732	10952	439	116152	106931	-	-	SEC61B	ASNA1	-	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	Reconstituted Complex	physical	Mariappan M (2010)	20676083	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
692736	439	29927	106931	118968	-	-	ASNA1	SEC61A1	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	HSEC61|SEC61|SEC61A	Reconstituted Complex	physical	Mariappan M (2010)	20676083	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
692737	439	6844	106931	112711	-	-	ASNA1	VAMP2	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	SYB2|VAMP-2	Reconstituted Complex	physical	Mariappan M (2010)	20676083	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
692738	439	6811	106931	112680	-	-	ASNA1	STX5	ARSA-I|ARSA1|ASNA-I|GET3|TRC40|hASNA-I	SED5|STX5A	Reconstituted Complex	physical	Mariappan M (2010)	20676083	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
