#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
100983	855561	854168	35668	34410	YNL161W	YOR007C	CBK1	SGT2	serine/threonine protein kinase CBK1|L000004609	L000004506	Affinity Capture-MS	physical	Ho Y (2002)	11805837	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
114110	854038	854168	34289	34410	YOL111C	YOR007C	MDY2	SGT2	GET5|TMA24	L000004506	Two-hybrid	physical	Uetz P (2000)	10688190	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
185781	854168	852434	34410	32837	YOR007C	YBR137W	SGT2	YBR137W	L000004506	-	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
185782	854168	854038	34410	34289	YOR007C	YOL111C	SGT2	MDY2	L000004506	GET5|TMA24	Affinity Capture-MS	physical	Krogan NJ (2006)	16554755	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
306826	855836	854168	35923	34410	YPL240C	YOR007C	HSP82	SGT2	HSP90|Hsp90 family chaperone HSP82|L000000822	L000004506	Synthetic Growth Defect	genetic	McClellan AJ (2007)	17923092	559292	559292	High Throughput	-	-	vegetative growth	A genome-wide chemical-genetic screen was used to identify deletion strains whose growth was negatively affected when Hsp90 function was compromised using the HSP90-inhibiting drug, macbecin II.	-	BIOGRID
307532	855224	854168	35364	34410	YMR186W	YOR007C	HSC82	SGT2	HSP90|Hsp90 family chaperone HSC82|L000000813	L000004506	Synthetic Growth Defect	genetic	McClellan AJ (2007)	17923092	559292	559292	High Throughput	-	-	vegetative growth	A genome-wide chemical-genetic screen was used to identify deletion strains whose growth was negatively affected when Hsp90 function was compromised using the HSP90-inhibiting drug, macbecin II.	-	BIOGRID
319941	854038	854168	34289	34410	YOL111C	YOR007C	MDY2	SGT2	GET5|TMA24	L000004506	Two-hybrid	physical	Yu H (2008)	18719252	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
319963	854168	850329	34410	30955	YOR007C	YCL028W	SGT2	RNQ1	L000004506	prion domain-containing protein RNQ1|[PIN(+)]|S000007471	Two-hybrid	physical	Yu H (2008)	18719252	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
319964	854168	854168	34410	34410	YOR007C	YOR007C	SGT2	SGT2	L000004506	L000004506	Two-hybrid	physical	Yu H (2008)	18719252	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
340213	856607	854168	36634	34410	YHR200W	YOR007C	RPN10	SGT2	MCB1|SUN1|proteasome regulatory particle base subunit RPN10|L000003108	L000004506	Affinity Capture-MS	physical	Guerrero C (2008)	18757749	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
340582	850554	854168	31152	34410	YFR004W	YOR007C	RPN11	SGT2	MPR1|proteasome regulatory particle lid subunit RPN11|L000002976|L000002965	L000004506	Affinity Capture-MS	physical	Guerrero C (2008)	18757749	559292	559292	High Throughput	-	-	-	-	-	BIOGRID
347297	852755	854168	33129	34410	YGL122C	YOR007C	NAB2	SGT2	mRNA-binding protein NAB2|L000001227	L000004506	Affinity Capture-RNA	physical	Batisse J (2009)	19840948	559292	559292	High Throughput	-	-	-	High Throughput: The experiment involved high-throughput sequencing of the RNAs that co-precipitated with TAP-tagged Nab2 (Nab2-TAP).	-	BIOGRID
355270	851223	854168	31756	34410	YAL010C	YOR007C	MDM10	SGT2	FUN37|L000000648|L000001053	L000004506	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.1214	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID
356312	852230	854168	32648	34410	YBL050W	YOR007C	SEC17	SGT2	RNS3|L000001841	L000004506	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2582	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YBL050W is an essential gene and therefore the temperature sensitive allele YBL050W_tsq48 was used in the experiment	-	BIOGRID
357856	852372	854168	32782	34410	YBR080C	YOR007C	SEC18	SGT2	ANU4|AAA family ATPase SEC18|L000001842	L000004506	Negative Genetic	genetic	Costanzo M (2010)	20093466	559292	559292	High Throughput	-0.2027	-	colony size	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YBR080C is an essential gene and therefore the temperature sensitive allele YBR080C_tsq57 was used in the experiment	-	BIOGRID
