#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
22433	573	3312	107049	109544	RP11-326F20.2	-	BAG1	HSPA8	BAG-1|HAP|RAP46	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Two-hybrid	physical	Takayama S (1997)	9305631	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
122128	3312	23640	109544	117168	-	PP1845	HSPA8	HSPBP1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	FES1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
241327	5481	3312	111477	109544	-	-	PPID	HSPA8	CYP-40|CYPD	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Carrello A (2004)	15497503	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
241386	10915	3312	116120	109544	-	-	TCERG1	HSPA8	CA150|TAF2S|Urn1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-MS	physical	Lin KT (2004)	15456888	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
243996	672	3312	107140	109544	-	-	BRCA1	HSPA8	BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Two-hybrid	physical	Yu X (1998)	9738006	9606	9606	Low Throughput	-	-	-	BRCT domain bait	-	BIOGRID
245676	2176	3312	108473	109544	RP11-80I15.2	-	FANCC	HSPA8	FA3|FAC|FACC	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Two-hybrid	physical	Reuter TY (2003)	14499622	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
258937	23645	3312	117172	109544	-	-	PPP1R15A	HSPA8	GADD34	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Hung WJ (2003)	12724406	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
259512	3054	3312	109304	109544	-	-	HCFC1	HSPA8	CFF|HCF|HCF-1|HCF1|HFC1|MRX3|PPP1R89|VCAF	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-MS	physical	Wysocka J (2003)	12670868	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
260956	8841	3312	114368	109544	-	-	HDAC3	HSPA8	HD3|RPD3|RPD3-2	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Guenther MG (2002)	12502735	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
262455	29665	3312	248286	109544	-	-	P2rx7	HSPA8	-	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-MS	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BIOGRID
262467	29665	3312	248286	109544	-	-	P2rx7	HSPA8	-	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Kim M (2001)	11707406	10116	9606	Low Throughput	-	-	-	-	-	BIOGRID
263388	4435	3312	110572	109544	-	-	CITED1	HSPA8	MSG1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Yahata T (2000)	10722728	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
263389	4435	3312	110572	109544	-	-	CITED1	HSPA8	MSG1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Phenotypic Suppression	genetic	Yahata T (2000)	10722728	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
269624	3312	84273	109544	124000	-	-	HSPA8	NOA1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	C4orf14|MTG3|hAtNOS1|hNOA1|mAtNOS1	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	1.0	-	-	-	-	BIOGRID
270411	3312	4071	109544	110249	-	-	HSPA8	TM4SF1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	H-L6|L6|M3S1|TAAL6	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270419	23640	3312	117168	109544	PP1845	-	HSPBP1	HSPA8	FES1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
270834	10474	3312	115737	109544	-	-	TADA3	HSPA8	ADA3|NGG1|STAF54|TADA3L|hADA3	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	2.0	-	-	-	-	BIOGRID
271151	3312	2079	109544	108390	-	-	HSPA8	ERH	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	DROER	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	-	-	BIOGRID
271152	3312	2203	109544	108497	-	RP11-342C23.1	HSPA8	FBP1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	FBP	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	-	-	BIOGRID
271153	3312	7316	109544	113164	-	-	HSPA8	UBC	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	HMG20	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	#LPPI|Likely protein-protein interaction	-	BIOGRID
271318	5997	3312	111929	109544	GIG31	-	RGS2	HSPA8	G0S8	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Two-hybrid	physical	Stelzl U (2005)	16169070	9606	9606	High Throughput	3.0	-	-	-	-	BIOGRID
276476	9093	3312	114547	109544	-	-	DNAJA3	HSPA8	HCA57|TID1|hTID-1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Sarkar S (2001)	11679576	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276477	3312	9093	109544	114547	-	-	HSPA8	DNAJA3	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	HCA57|TID1|hTID-1	Affinity Capture-Western	physical	Sarkar S (2001)	11679576	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
276478	3717	3312	109920	109544	-	-	JAK2	HSPA8	JTK10|THCYT3	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Sarkar S (2001)	11679576	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278418	3337	3312	109569	109544	-	-	DNAJB1	HSPA8	HSPF1|Hdj1|Hsp40|RSPH16B|Sis1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Meacham GC (1999)	10075921	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278420	3301	3312	109534	109544	RP11-54K16.1	-	DNAJA1	HSPA8	DJ-2|DjA1|HDJ2|HSDJ|HSJ2|HSPF4|NEDD7|hDJ-2	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Meacham GC (1999)	10075921	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
278424	1080	3312	107506	109544	tcag7.78	-	CFTR	HSPA8	ABC35|ABCC7|CF|CFTR/MRP|MRP7|TNR-CFTR|dJ760C5.1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Meacham GC (1999)	10075921	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
279717	3312	3320	109544	109552	-	-	HSPA8	HSP90AA1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	EL52|HSP86|HSP89A|HSP90A|HSP90N|HSPC1|HSPCA|HSPCAL1|HSPCAL4|HSPN|Hsp89|Hsp90|LAP-2|LAP2	Affinity Capture-Western	physical	Polanowska-Grabowska R (1997)	9269769	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
279718	3312	5499	109544	111493	-	-	HSPA8	PPP1CA	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	PP-1A|PP1A|PP1alpha|PPP1A	Affinity Capture-Western	physical	Polanowska-Grabowska R (1997)	9269769	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
279719	3312	4660	109544	110743	-	-	HSPA8	PPP1R12B	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	MYPT2|PP1bp55	Affinity Capture-Western	physical	Polanowska-Grabowska R (1997)	9269769	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
281445	9978	3312	115301	109544	RP11-554C12.1	-	RBX1	HSPA8	BA554C12.1|RNF75|ROC1	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-MS	physical	Dias DC (2002)	12481031	9606	9606	High Throughput	-	-	-	exogenous expression of bait	-	BIOGRID
288244	3312	9532	109544	114908	-	RP3-496N17.2	HSPA8	BAG2	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	BAG-2|dJ417I1.2	Two-hybrid	physical	Takayama S (1999)	9873016	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288245	3312	9531	109544	114907	-	-	HSPA8	BAG3	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	BAG-3|BIS|CAIR-1|MFM6	Two-hybrid	physical	Takayama S (1999)	9873016	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288246	573	3312	107049	109544	RP11-326F20.2	-	BAG1	HSPA8	BAG-1|HAP|RAP46	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Takayama S (1999)	9873016	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288247	9532	3312	114908	109544	RP3-496N17.2	-	BAG2	HSPA8	BAG-2|dJ417I1.2	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Takayama S (1999)	9873016	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288248	9531	3312	114907	109544	-	-	BAG3	HSPA8	BAG-3|BIS|CAIR-1|MFM6	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Takayama S (1999)	9873016	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288249	573	3312	107049	109544	RP11-326F20.2	-	BAG1	HSPA8	BAG-1|HAP|RAP46	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Takayama S (1999)	9873016	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288250	9532	3312	114908	109544	RP3-496N17.2	-	BAG2	HSPA8	BAG-2|dJ417I1.2	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Takayama S (1999)	9873016	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
288251	9531	3312	114907	109544	-	-	BAG3	HSPA8	BAG-3|BIS|CAIR-1|MFM6	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Takayama S (1999)	9873016	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
297630	5611	3312	111597	109544	-	-	DNAJC3	HSPA8	ERdj6|HP58|P58|P58IPK|PRKRI	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-Western	physical	Trentin GA (2001)	11116152	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
305443	54205	3312	119922	109544	-	-	CYCS	HSPA8	CYC|HCS|THC4	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Gao B (1996)	8663341	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
306083	661	3312	107129	109544	-	-	POLR3D	HSPA8	BN51T|RPC4|RPC53|TSBN51	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Affinity Capture-MS	physical	Hu P (2002)	12391170	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
315054	7157	3312	113010	109544	-	-	TP53	HSPA8	BCC7|LFS1|P53|TRP53	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Akakura S (2001)	11297531	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
315096	9530	3312	114906	109544	-	-	BAG4	HSPA8	BAG-4|SODD	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Miki K (2002)	11909948	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
315099	7132	3312	112986	109544	-	-	TNFRSF1A	HSPA8	CD120a|FPF|MS5|TBP1|TNF-R|TNF-R-I|TNF-R55|TNFAR|TNFR1|TNFR1-d2|TNFR55|TNFR60|p55|p55-R|p60	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	Reconstituted Complex	physical	Miki K (2002)	11909948	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
315100	3312	9530	109544	114906	-	-	HSPA8	BAG4	HEL-33|HEL-S-72p|HSC54|HSC70|HSC71|HSP71|HSP73|HSPA10|LAP-1|LAP1|NIP71	BAG-4|SODD	Reconstituted Complex	physical	Miki K (2002)	11909948	9606	9606	Low Throughput	-	-	-	-	-	BIOGRID
