#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Pubmed ID	Organism Interactor A	Organism Interactor B	Throughput	Score	Modification	Phenotypes	Qualifications	Tags	Source Database
119641	6449	6696	112347	112574	-	PSEC0156	SGTA	SPP1	SGT|alphaSGT|hSGT	BNSP|BSPI|ETA-1|OPN	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
119703	6449	50848	112347	119153	-	RP11-544M22.2	SGTA	F11R	SGT|alphaSGT|hSGT	CD321|JAM|JAM1|JAMA|JCAM|KAT|PAM-1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120046	5552	6449	111543	112347	-	-	SRGN	SGTA	PPG|PRG|PRG1	SGT|alphaSGT|hSGT	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120684	6449	30008	112347	119026	-	UNQ200/PRO226	SGTA	EFEMP2	SGT|alphaSGT|hSGT	ARCL1B|FBLN4|MBP1|UPH1	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
120793	4832	6449	110896	112347	-	-	NME3	SGTA	DR-nm23|NDPK-C|NDPKC|NM23-H3|NM23H3|c371H6.2	SGT|alphaSGT|hSGT	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121087	2882	6449	109139	112347	UNQ469/PRO828	-	GPX7	SGTA	CL683|GPX6|GPx-7|GSHPx-7|NPGPx	SGT|alphaSGT|hSGT	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121338	6449	114897	112347	125388	-	UNQ310/PRO353	SGTA	C1QTNF1	SGT|alphaSGT|hSGT	CTRP1|GIP|ZSIG37	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121538	6449	84888	112347	124328	-	PSEC0147	SGTA	SPPL2A	SGT|alphaSGT|hSGT	IMP3|PSL2	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121669	6449	6860	112347	112724	-	-	SGTA	SYT4	SGT|alphaSGT|hSGT	HsT1192	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
121687	2202	6449	108496	112347	-	-	EFEMP1	SGTA	DHRD|DRAD|FBLN3|FBNL|FIBL-3|MLVT|MTLV|S1-5	SGT|alphaSGT|hSGT	Two-hybrid	physical	Rual JF (2005)	16189514	9606	9606	High Throughput	-	-	-	-	-	BIOGRID
